state,avg_annual_rain_mm,avg_temp_c,avg_humidity_pct,coastal,mountainous,hazard_label
Kerala,3021,28.85185133962829,78,1,0,Flood
Assam,2806,25.226003183419692,83,0,1,Flood
Bihar,1174,30.656436982469593,64,0,0,Flood
Uttar Pradesh,1094,29.27044112536675,56,0,0,Heatwave
Rajasthan,569,32.661964057358844,42,0,0,Drought
Gujarat,791,30.161824188336116,55,1,0,Drought
Odisha,1304,29.811729818956103,82,1,0,Cyclone
Andhra Pradesh,1158,29.927995241765508,75,1,0,Cyclone
Tamil Nadu,977,30.205783431718793,74,1,0,Cyclone
West Bengal,1733,29.685803498840347,80,1,0,Flood
Himachal Pradesh,1269,17.84886191175837,57,0,1,Landslide
Uttarakhand,1636,19.25777384064978,63,0,1,Landslide
Maharashtra,1137,27.80610849962674,67,0,0,Flood
Telangana,754,30.348005243138903,59,0,0,Heatwave
Karnataka,1137,27.021633276286273,70,1,0,Flood
Jharkhand,1337,27.31935719049032,69,0,0,Flood
Madhya Pradesh,1187,29.659373190374986,58,0,0,Heatwave
Punjab,738,27.3977684969702,56,0,0,Flood
Haryana,744,27.462299243005237,45,0,0,Heatwave
Delhi,742,29.47518209891659,50,0,0,Heatwave
Kerala,3073,27.328104994878796,80,1,0,Flood
Assam,2729,25.246153346052843,79,0,1,Flood
Bihar,1067,30.872636826295057,65,0,0,Flood
Uttar Pradesh,1098,28.985902985157438,51,0,0,Heatwave
Rajasthan,512,31.496721895747978,48,0,0,Drought
Gujarat,804,30.80888377477399,57,1,0,Drought
Odisha,1555,30.778793781985247,77,1,0,Cyclone
Andhra Pradesh,1070,30.354587258732515,71,1,0,Cyclone
Tamil Nadu,1056,29.441025456795366,72,1,0,Cyclone
West Bengal,1610,28.73700495365391,79,1,0,Flood
Himachal Pradesh,1197,18.676116314545546,56,0,1,Landslide
Uttarakhand,1557,20.162187949116625,60,0,1,Landslide
Maharashtra,1257,27.150449546805216,68,0,0,Flood
Telangana,863,29.73798679259959,50,0,0,Heatwave
Karnataka,1191,27.780736159475897,74,1,0,Flood
Jharkhand,1187,28.013157307772165,74,0,0,Flood
Madhya Pradesh,981,29.261519195821734,57,0,0,Heatwave
Punjab,774,27.303086322432897,54,0,0,Flood
Haryana,564,28.7234648135638,50,0,0,Heatwave
Delhi,585,29.015086645446985,48,0,0,Heatwave
Kerala,2905,28.741237526603133,77,1,0,Flood
Assam,2718,25.097875824864147,80,0,1,Flood
Bihar,1240,29.252995271148365,61,0,0,Flood
Uttar Pradesh,965,28.3955232099122,50,0,0,Heatwave
Rajasthan,690,31.477173781536504,46,0,0,Drought
Gujarat,931,29.99738344251736,56,1,0,Drought
Odisha,1446,30.162200382606244,73,1,0,Cyclone
Andhra Pradesh,1247,30.127574752623886,76,1,0,Cyclone
Tamil Nadu,819,30.179624067805136,72,1,0,Cyclone
West Bengal,1611,29.00071345829611,82,1,0,Flood
Himachal Pradesh,1209,17.12261318984239,58,0,1,Landslide
Uttarakhand,1577,19.851554989500045,64,0,1,Landslide
Maharashtra,1123,27.353142630509534,63,0,0,Flood
Telangana,1040,30.946496511665913,58,0,0,Heatwave
Karnataka,1160,26.030855821933287,73,1,0,Flood
Jharkhand,1392,28.057365995361224,67,0,0,Flood
Madhya Pradesh,1040,29.403240999892954,64,0,0,Heatwave
Punjab,535,27.254218062270795,51,0,0,Flood
Haryana,500,28.643405459344436,49,0,0,Heatwave
Delhi,478,29.710365541206336,51,0,0,Heatwave
Kerala,3036,28.026396082411363,85,1,0,Flood
Assam,2934,26.38796557411348,79,0,1,Flood
Bihar,1224,30.672533096022498,66,0,0,Flood
Uttar Pradesh,906,28.403791153483937,50,0,0,Heatwave
Rajasthan,579,32.04717370891752,48,0,0,Drought
Gujarat,926,29.151539141559965,58,1,0,Drought
Odisha,1325,30.486611346857305,81,1,0,Cyclone
Andhra Pradesh,1179,29.447373741835705,70,1,0,Cyclone
Tamil Nadu,1066,30.18763137652079,74,1,0,Cyclone
West Bengal,1718,29.419803285565663,81,1,0,Flood
Himachal Pradesh,1120,17.056110823104596,60,0,1,Landslide
Uttarakhand,1580,19.612591250078076,62,0,1,Landslide
Maharashtra,1322,28.78177645751743,63,0,0,Flood
